zone,prop_type,listing_type,furnishing,bhk,area,bathrooms,age,amenities_count,floor,total_floors,has_metro,price
Shivajinagar,apartment,sale,semi-furnished,4,1728,4,29,7,12,13,1,18952100
Pashan,apartment,sale,unfurnished,3,962,3,14,3,2,2,0,7352100
Shivajinagar,house,rent,semi-furnished,2,1018,2,12,10,5,9,1,48900
Balewadi,apartment,sale,fully-furnished,2,848,2,21,4,1,10,0,6729500
Undri,apartment,sale,semi-furnished,2,1046,2,26,0,2,2,0,5585000
Wakad,studio,sale,unfurnished,1,578,1,24,5,3,4,1,3909100
Wakad,apartment,rent,fully-furnished,3,966,3,28,7,0,2,1,76500
Wakad,apartment,sale,semi-furnished,3,1178,3,6,8,8,11,1,12711700
Magarpatta,plot,rent,semi-furnished,0,973,1,7,4,0,1,0,44400
Pisoli,apartment,rent,fully-furnished,2,1096,2,31,0,1,12,0,26900
Kalyani Nagar,apartment,rent,fully-furnished,5,1806,5,27,6,5,9,0,317400
Hinjewadi,apartment,sale,fully-furnished,3,1331,3,11,5,6,13,1,14694400
Baner,studio,sale,fully-furnished,1,672,1,31,4,1,4,1,6231900
Kharadi,plot,rent,semi-furnished,0,2375,1,27,2,0,1,1,71300
Magarpatta,commercial,rent,semi-furnished,0,3969,1,18,5,0,1,0,340400
Wakad,villa,rent,fully-furnished,1,1744,1,8,4,7,14,1,358800
Aundh,apartment,rent,unfurnished,3,949,3,23,6,2,8,1,58500
Kalyani Nagar,apartment,sale,fully-furnished,3,1181,3,2,9,0,4,0,21361400
Hinjewadi,plot,sale,semi-furnished,0,1122,1,17,4,0,1,1,5306400
Wanowrie,apartment,sale,unfurnished,1,517,1,6,4,7,8,0,3544000
Wanowrie,apartment,rent,fully-furnished,2,938,2,6,3,10,12,0,34100
Chinchwad,studio,sale,semi-furnished,1,406,1,7,1,8,12,0,2778300
Kothrud,commercial,rent,unfurnished,0,2974,1,4,6,0,1,1,370700
Pashan,apartment,rent,unfurnished,3,1190,3,1,2,1,9,0,50200
Kothrud,apartment,rent,unfurnished,3,1030,3,21,7,5,11,1,78000
Boat Club Road,apartment,sale,semi-furnished,3,1255,3,25,4,7,8,0,19462700
Magarpatta,house,sale,semi-furnished,2,1197,2,8,5,5,19,0,8725300
Pimpri,villa,sale,semi-furnished,3,2448,3,25,1,4,10,0,14846500
Wanowrie,apartment,sale,fully-furnished,3,1089,3,30,1,2,13,0,5737800
Chinchwad,studio,sale,semi-furnished,1,433,1,24,3,5,5,0,2028500
Baner,apartment,rent,semi-furnished,2,1017,2,29,3,2,3,1,40100
Viman Nagar,apartment,sale,fully-furnished,3,1256,3,7,8,8,11,1,18138500
Kalyani Nagar,apartment,sale,unfurnished,2,1004,2,0,7,5,7,0,11381900
Kondhwa,villa,sale,semi-furnished,2,3816,2,22,2,0,8,0,29126100
Koregaon Park,apartment,rent,unfurnished,4,1439,4,23,9,8,10,0,172600
Aundh,apartment,sale,fully-furnished,2,699,2,3,3,13,16,1,9107200
Koregaon Park,apartment,sale,fully-furnished,2,1087,2,16,6,0,2,0,14210800
Pimpri,villa,sale,semi-furnished,4,2828,4,8,0,7,19,0,17452600
Hadapsar,plot,rent,semi-furnished,0,2632,1,4,0,0,1,0,53000
Koregaon Park,commercial,sale,fully-furnished,0,1056,1,7,5,0,1,0,19545500
Balewadi,villa,rent,semi-furnished,1,3434,1,23,6,12,17,0,650800
Aundh,apartment,sale,semi-furnished,2,927,2,27,5,1,11,1,5633900
Magarpatta,apartment,rent,fully-furnished,2,1274,2,8,4,0,5,0,42200
Kothrud,apartment,rent,semi-furnished,2,704,2,16,2,14,14,1,43300
Hinjewadi,villa,sale,semi-furnished,2,3257,2,27,1,0,11,1,25139200
Pashan,commercial,rent,fully-furnished,0,5008,1,28,8,0,1,0,616000
Koregaon Park,apartment,sale,semi-furnished,3,1379,3,14,3,1,8,0,17855100
Camp,apartment,rent,semi-furnished,3,1640,3,4,5,5,9,0,86800
Hadapsar,apartment,rent,unfurnished,3,1338,3,14,4,3,4,0,39500
Hinjewadi,apartment,sale,fully-furnished,3,1286,3,15,3,11,11,1,11131200
Koregaon Park,apartment,sale,fully-furnished,2,1251,2,26,7,6,7,0,15075400
Shivajinagar,plot,rent,fully-furnished,0,4108,1,30,5,0,1,1,222800
Baner,apartment,sale,semi-furnished,3,1494,3,28,7,5,12,1,14385800
Hinjewadi,apartment,sale,unfurnished,1,738,1,15,3,2,9,1,4229600
Baner,apartment,sale,unfurnished,3,1207,3,1,6,3,11,1,12272100
Chinchwad,studio,sale,fully-furnished,1,539,1,6,3,1,15,0,3023200
Wakad,commercial,rent,fully-furnished,0,1408,1,18,1,0,1,1,72700
Balewadi,apartment,sale,fully-furnished,3,1459,3,28,5,4,12,0,13782300
Balewadi,plot,rent,fully-furnished,0,2026,1,29,3,0,1,0,71100
Aundh,apartment,sale,unfurnished,3,1535,3,14,6,11,15,1,17257700
Baner,apartment,sale,semi-furnished,3,1478,3,7,5,12,13,1,13240700
Chinchwad,apartment,rent,semi-furnished,3,1491,3,5,1,2,14,0,44900
Kondhwa,studio,rent,unfurnished,1,560,1,7,7,0,2,0,19600
Boat Club Road,villa,sale,unfurnished,1,3551,1,21,6,5,6,0,43521500
Wanowrie,commercial,rent,fully-furnished,0,3922,1,28,3,0,1,0,221300
Kharadi,apartment,sale,fully-furnished,3,1227,3,2,9,1,2,1,15077400
Wakad,villa,rent,fully-furnished,3,2591,3,29,4,1,5,1,391700
Chinchwad,villa,rent,semi-furnished,4,3408,4,8,5,0,4,0,334600
Kharadi,villa,sale,unfurnished,2,1613,2,10,5,0,5,1,16360800
Hadapsar,apartment,rent,semi-furnished,3,1127,3,23,0,7,9,0,41800
Kothrud,apartment,sale,unfurnished,4,1653,4,24,5,3,10,1,13459400
Wakad,studio,rent,semi-furnished,1,575,1,5,5,9,12,1,26200
Kharadi,apartment,rent,semi-furnished,2,1069,2,2,6,4,15,1,37000
Camp,apartment,sale,semi-furnished,4,1494,4,21,2,3,4,0,15499300
Bavdhan,apartment,rent,semi-furnished,3,1250,3,12,1,9,9,0,49200
Wanowrie,studio,sale,fully-furnished,1,550,1,26,1,2,2,0,4217000
Camp,studio,rent,unfurnished,1,586,1,25,6,4,11,0,30300
Wagholi,plot,rent,fully-furnished,0,4170,1,17,1,0,1,0,70100
Baner,apartment,rent,semi-furnished,5,1951,5,14,6,10,13,1,252500
Koregaon Park,apartment,rent,fully-furnished,2,1187,2,7,10,0,6,0,97500
Viman Nagar,house,rent,fully-furnished,3,1422,3,13,9,7,8,1,128000
Hinjewadi,house,sale,semi-furnished,2,844,2,30,0,2,16,1,4142400
Camp,apartment,sale,semi-furnished,2,1008,2,20,5,0,9,0,8047500
Koregaon Park,commercial,sale,semi-furnished,0,1933,1,16,7,0,1,0,18476800
Kharadi,apartment,rent,unfurnished,2,757,2,0,3,4,10,1,27000
Wanowrie,apartment,rent,fully-furnished,1,986,1,12,2,0,2,0,27600
Kharadi,commercial,sale,fully-furnished,0,2412,1,5,2,0,1,1,26942200
Magarpatta,apartment,rent,fully-furnished,2,846,2,22,4,3,4,0,54900
Aundh,plot,sale,unfurnished,0,1791,1,9,5,0,1,1,10902300
Chinchwad,house,sale,fully-furnished,2,1488,2,29,0,3,7,0,5951400
Viman Nagar,apartment,sale,semi-furnished,2,1058,2,17,5,4,11,1,10080400
Kondhwa,apartment,rent,semi-furnished,3,1540,3,26,3,0,13,0,63400
Camp,commercial,sale,semi-furnished,0,5466,1,16,2,0,1,0,56091300
Wanowrie,house,rent,semi-furnished,1,646,1,30,1,0,7,0,16500
Aundh,apartment,sale,fully-furnished,2,997,2,27,3,0,2,1,6970500
Pisoli,apartment,sale,fully-furnished,4,1881,4,24,6,15,18,0,13417700
Chinchwad,commercial,sale,fully-furnished,0,3123,1,27,4,0,1,0,7893800
Pimpri,studio,rent,semi-furnished,1,483,1,11,3,3,5,0,9000
Viman Nagar,apartment,rent,fully-furnished,3,1170,3,27,7,5,12,1,123200
Kalyani Nagar,villa,rent,semi-furnished,3,2075,3,11,8,11,11,0,274500
Kothrud,apartment,rent,unfurnished,1,590,1,6,1,8,8,1,20400
Pimple Saudagar,commercial,sale,unfurnished,0,3973,1,1,2,0,1,0,18157200
Shivajinagar,studio,sale,semi-furnished,1,468,1,24,7,1,9,1,4104400
Camp,apartment,sale,fully-furnished,1,826,1,24,4,1,7,0,6708500
Magarpatta,house,sale,fully-furnished,4,1618,4,8,5,9,9,0,22124700
Baner,plot,rent,semi-furnished,0,4976,1,8,8,0,1,1,222000
Shivajinagar,apartment,rent,semi-furnished,4,1199,4,31,9,10,16,1,145100
Magarpatta,studio,sale,semi-furnished,1,551,1,22,4,0,5,0,3170600
Pimple Saudagar,apartment,sale,unfurnished,3,1558,3,30,1,3,8,0,9108200
Chinchwad,apartment,sale,fully-furnished,2,952,2,31,3,7,13,0,4949800
Chinchwad,villa,sale,semi-furnished,2,3407,2,30,1,8,12,0,16504900
Hinjewadi,villa,rent,semi-furnished,4,2151,4,24,6,1,8,1,344900
Balewadi,studio,sale,semi-furnished,1,536,1,29,4,2,4,0,4004700
Hinjewadi,apartment,rent,semi-furnished,2,1050,2,28,3,2,9,1,35500
Hinjewadi,apartment,rent,fully-furnished,2,1217,2,5,3,4,7,1,43300
Hinjewadi,apartment,sale,fully-furnished,3,1411,3,22,0,9,12,1,9933900
Pashan,plot,sale,semi-furnished,0,1351,1,14,8,0,1,0,9174200
Baner,studio,sale,semi-furnished,1,676,1,21,2,2,4,1,6371600
Pisoli,apartment,rent,unfurnished,2,1015,2,24,3,14,17,0,17800
Hadapsar,apartment,sale,unfurnished,1,1092,1,5,0,6,21,0,6009300
Baner,villa,rent,semi-furnished,4,2888,4,17,3,2,2,1,782900
Bavdhan,house,sale,semi-furnished,3,1407,3,13,3,4,9,0,10643400
Undri,apartment,rent,fully-furnished,4,1544,4,31,5,0,15,0,91800
Undri,commercial,sale,semi-furnished,0,1318,1,22,1,0,1,0,6966200
Hinjewadi,apartment,sale,semi-furnished,2,1129,2,19,3,0,5,1,7815500
Aundh,apartment,sale,unfurnished,2,812,2,9,6,11,11,1,8091300
Wakad,apartment,rent,unfurnished,2,1057,2,9,7,0,12,1,40700
Balewadi,apartment,rent,fully-furnished,2,700,2,6,2,0,5,0,32400
Balewadi,apartment,sale,fully-furnished,2,984,2,18,4,5,16,0,9572000
Pimpri,apartment,rent,fully-furnished,4,1530,4,8,1,2,8,0,82600
Hinjewadi,villa,rent,semi-furnished,4,1863,4,13,4,12,13,1,423500
Wakad,apartment,sale,semi-furnished,1,494,1,16,3,9,15,1,3389300
Kalyani Nagar,apartment,sale,semi-furnished,3,1587,3,3,9,3,9,0,21404200
Viman Nagar,studio,rent,unfurnished,1,470,1,18,6,1,9,1,17400
Magarpatta,studio,sale,semi-furnished,1,698,1,2,3,2,2,0,7180400
Hinjewadi,commercial,sale,semi-furnished,0,3181,1,16,2,0,1,1,28911000
Baner,apartment,sale,fully-furnished,5,1969,5,1,7,1,8,1,31067400
Aundh,apartment,rent,fully-furnished,1,759,1,4,3,4,4,1,19600
Wakad,plot,sale,fully-furnished,0,3469,1,15,5,0,1,1,25013300
Kharadi,plot,sale,unfurnished,0,3324,1,7,6,0,1,1,17045400
Baner,house,rent,semi-furnished,2,889,2,26,5,1,2,1,39400
Kothrud,apartment,sale,semi-furnished,2,1034,2,17,2,11,16,1,7932500
Chinchwad,studio,sale,semi-furnished,1,415,1,14,0,2,11,0,2113900
Undri,apartment,sale,unfurnished,2,985,2,20,4,8,19,0,4392800
Wanowrie,commercial,sale,fully-furnished,0,4217,1,26,5,0,1,0,25683900
Viman Nagar,apartment,rent,semi-furnished,2,950,2,20,7,10,12,1,50000
Kharadi,apartment,rent,semi-furnished,3,1216,3,29,2,4,11,1,63100
Hadapsar,apartment,rent,semi-furnished,1,682,1,12,0,6,15,0,11800
Magarpatta,villa,sale,semi-furnished,1,2871,1,20,4,1,14,0,32121900
Pimple Saudagar,apartment,sale,semi-furnished,2,1013,2,20,0,5,11,0,5506900
Baner,house,sale,fully-furnished,4,1450,4,29,5,18,19,1,17008000
Pimpri,apartment,rent,semi-furnished,4,1603,4,5,2,2,8,0,79000
Baner,studio,sale,unfurnished,1,640,1,21,5,3,4,1,4658300
Pimpri,house,rent,unfurnished,3,1450,3,25,2,6,10,0,50400
Undri,house,sale,semi-furnished,1,657,1,27,4,10,11,0,2784100
Hadapsar,house,sale,semi-furnished,4,1743,4,4,0,4,8,0,13844200
Magarpatta,house,sale,fully-furnished,2,1105,2,27,3,8,9,0,8067700
Hinjewadi,villa,rent,semi-furnished,2,2628,2,19,0,2,9,1,483100
Kothrud,apartment,rent,semi-furnished,3,1613,3,28,2,1,8,1,86500
Chinchwad,apartment,sale,fully-furnished,2,1056,2,2,1,0,9,0,5892900
Baner,house,rent,semi-furnished,2,1125,2,23,4,4,8,1,57100
Chinchwad,villa,rent,fully-furnished,2,2452,2,16,2,5,14,0,297700
Pisoli,house,rent,semi-furnished,1,649,1,8,5,15,16,0,16900
Pimple Saudagar,studio,rent,semi-furnished,1,718,1,10,2,1,4,0,20000
Hinjewadi,apartment,rent,fully-furnished,2,930,2,15,4,11,11,1,41900
Wakad,apartment,sale,fully-furnished,2,1284,2,9,6,22,24,1,15951100
Kalyani Nagar,house,rent,fully-furnished,4,1447,4,27,7,9,9,0,210500
Kharadi,studio,sale,semi-furnished,1,392,1,25,3,7,11,1,2638600
Kondhwa,apartment,sale,fully-furnished,2,871,2,5,3,4,7,0,7576100
Viman Nagar,commercial,rent,fully-furnished,0,3121,1,22,5,0,1,1,544100
Pisoli,commercial,sale,fully-furnished,0,256,1,14,2,0,1,0,1731700
Baner,apartment,rent,fully-furnished,2,986,2,31,3,3,8,1,61000
Pimpri,commercial,rent,fully-furnished,0,1332,1,13,0,0,1,0,117900
Baner,apartment,sale,unfurnished,2,1075,2,22,3,0,11,1,6780300
Pimpri,studio,sale,semi-furnished,1,579,1,1,0,1,5,0,3136300
Viman Nagar,commercial,sale,unfurnished,0,3095,1,14,6,0,1,1,29303900
Koregaon Park,commercial,rent,semi-furnished,0,747,1,7,8,0,1,0,13600
Wagholi,apartment,sale,unfurnished,2,1058,2,16,1,0,5,0,3804300
Hadapsar,house,rent,fully-furnished,1,465,1,27,3,1,14,0,13500
Kothrud,plot,sale,unfurnished,0,3225,1,8,4,0,1,1,15872400
Balewadi,apartment,sale,fully-furnished,1,523,1,15,3,3,14,0,4047000
Kharadi,studio,sale,unfurnished,1,655,1,23,1,2,4,1,3857400
Koregaon Park,apartment,sale,unfurnished,3,1381,3,24,7,2,6,0,15864400
Viman Nagar,apartment,sale,unfurnished,2,1071,2,20,5,6,11,1,8742200
Kondhwa,apartment,sale,semi-furnished,2,877,2,1,1,2,2,0,6736000
Wanowrie,plot,rent,unfurnished,0,2057,1,28,1,0,1,0,55100
Kothrud,apartment,rent,semi-furnished,3,1266,3,20,6,2,5,1,72700
Kharadi,apartment,rent,unfurnished,2,1042,2,5,6,1,2,1,35300
Hinjewadi,commercial,rent,semi-furnished,0,3681,1,15,1,0,1,1,116700
Viman Nagar,apartment,sale,fully-furnished,3,1532,3,24,1,5,12,1,14501700
Baner,apartment,sale,semi-furnished,3,1109,3,20,1,2,3,1,9657900
Hinjewadi,house,rent,semi-furnished,5,1906,5,30,3,0,2,1,201200
Kalyani Nagar,commercial,rent,unfurnished,0,4154,1,24,7,0,1,0,429600
Kondhwa,apartment,rent,semi-furnished,3,1289,3,19,3,4,7,0,54500
Hinjewadi,apartment,sale,semi-furnished,3,1322,3,31,3,2,2,1,9515200
Hinjewadi,house,rent,semi-furnished,2,916,2,13,3,7,8,1,33800
Boat Club Road,house,rent,semi-furnished,3,1466,3,20,10,3,3,0,149800
Kalyani Nagar,apartment,sale,semi-furnished,2,1089,2,25,6,6,11,0,9982300
Baner,apartment,sale,fully-furnished,3,1331,3,28,5,0,6,1,13357200
Kothrud,villa,rent,semi-furnished,3,1926,3,18,5,12,12,1,258400
Kharadi,apartment,sale,semi-furnished,2,852,2,29,4,5,12,1,4571200
Kothrud,plot,sale,unfurnished,0,2576,1,9,5,0,1,1,12584900
Kalyani Nagar,apartment,sale,unfurnished,2,788,2,12,10,1,3,0,9287300
Undri,apartment,rent,semi-furnished,5,1399,5,7,6,8,8,0,116600
Pimple Saudagar,apartment,sale,unfurnished,4,1515,4,8,5,3,8,0,11735100
Pimple Saudagar,studio,sale,fully-furnished,1,408,1,5,4,0,5,0,3934800
Camp,apartment,rent,semi-furnished,2,991,2,10,2,0,12,0,44100
Pimple Saudagar,apartment,sale,fully-furnished,2,1229,2,22,1,2,2,0,9046300
Baner,apartment,sale,semi-furnished,1,662,1,10,5,4,4,1,7809900
Kharadi,apartment,rent,unfurnished,2,994,2,21,1,0,9,1,30300
Pimple Saudagar,studio,sale,semi-furnished,1,516,1,3,2,5,11,0,4292600
Magarpatta,apartment,sale,semi-furnished,3,1177,3,8,4,6,7,0,11406200
Wanowrie,house,rent,semi-furnished,4,1668,4,16,1,0,8,0,105300
Hinjewadi,plot,sale,semi-furnished,0,4006,1,3,3,0,1,1,18654700
Hadapsar,apartment,rent,semi-furnished,5,1809,5,6,0,2,2,0,111300
Pimpri,plot,sale,unfurnished,0,2782,1,3,4,0,1,0,14400900
Magarpatta,apartment,rent,fully-furnished,3,1401,3,3,7,4,6,0,75100
Koregaon Park,apartment,rent,unfurnished,4,1453,4,13,6,10,19,0,175700
Kharadi,studio,rent,semi-furnished,1,760,1,24,9,16,18,1,34800
Koregaon Park,apartment,sale,semi-furnished,2,1013,2,12,3,1,2,0,12184700
Pimple Saudagar,house,sale,unfurnished,3,1543,3,18,2,3,4,0,8850500
Balewadi,house,sale,unfurnished,4,1938,4,18,5,5,10,0,13788200
Wanowrie,house,rent,semi-furnished,2,1299,2,25,3,2,14,0,40500
Koregaon Park,apartment,rent,fully-furnished,2,1011,2,8,6,5,13,0,62300
Baner,apartment,sale,unfurnished,2,1340,2,17,5,5,5,1,12219200
Viman Nagar,apartment,sale,semi-furnished,4,1713,4,22,9,4,6,1,19425200
Magarpatta,villa,rent,unfurnished,3,2910,3,9,5,3,10,0,446600
Undri,plot,sale,fully-furnished,0,2026,1,22,1,0,1,0,5723900
Pimpri,villa,rent,semi-furnished,2,2104,2,15,1,3,13,0,329600
Koregaon Park,apartment,sale,unfurnished,2,977,2,21,4,1,6,0,10012400
Hinjewadi,plot,rent,fully-furnished,0,4076,1,15,4,0,1,1,136400
Camp,apartment,rent,fully-furnished,2,905,2,12,7,3,12,0,61500
Kharadi,apartment,rent,semi-furnished,2,1185,2,6,1,8,12,1,50200
Shivajinagar,house,rent,semi-furnished,1,618,1,11,7,0,9,1,21300
Kothrud,apartment,sale,semi-furnished,2,1041,2,30,3,15,16,1,8107000
Koregaon Park,villa,sale,fully-furnished,3,2044,3,14,7,4,6,0,40798000
Baner,apartment,sale,semi-furnished,2,617,2,6,4,2,8,1,6697900
Pimple Saudagar,studio,sale,semi-furnished,1,389,1,29,2,2,2,0,2177500
Wagholi,apartment,sale,fully-furnished,4,1601,4,22,0,3,10,0,10113000
Baner,apartment,rent,fully-furnished,5,1797,5,28,6,4,11,1,283900
Kothrud,apartment,rent,fully-furnished,1,635,1,1,7,4,8,1,17300
Kalyani Nagar,villa,sale,semi-furnished,1,2457,1,0,6,4,8,0,40987000
Pisoli,house,sale,unfurnished,3,1557,3,29,1,6,16,0,6308200
Hinjewadi,apartment,sale,unfurnished,3,1472,3,5,2,1,8,1,11000800
Undri,apartment,sale,fully-furnished,4,1445,4,8,0,0,2,0,10072600
Kothrud,apartment,rent,semi-furnished,2,1067,2,31,3,1,7,1,49200
Baner,studio,sale,fully-furnished,1,370,1,29,6,2,6,1,2609400
Magarpatta,villa,rent,semi-furnished,2,3044,2,30,3,5,10,0,569300
Magarpatta,apartment,sale,semi-furnished,4,1720,4,31,7,3,4,0,14780700
Pashan,apartment,sale,semi-furnished,3,1373,3,14,6,3,3,0,11225300
Camp,apartment,sale,unfurnished,2,1053,2,20,3,5,6,0,9227900
Baner,villa,sale,fully-furnished,5,2958,5,2,7,2,4,1,54612400
Chinchwad,apartment,rent,unfurnished,2,956,2,26,2,6,11,0,11300
Aundh,apartment,rent,semi-furnished,4,1833,4,19,7,2,8,1,177000
Hinjewadi,apartment,rent,semi-furnished,2,779,2,7,1,1,3,1,36100
Kondhwa,apartment,rent,semi-furnished,2,886,2,10,0,4,14,0,21400
Wanowrie,house,rent,fully-furnished,2,1049,2,15,4,2,2,0,34100
Viman Nagar,apartment,rent,fully-furnished,1,692,1,14,6,4,6,1,38700
Kharadi,apartment,sale,unfurnished,4,1560,4,9,5,7,7,1,16373000
Koregaon Park,villa,rent,unfurnished,2,2860,2,10,6,6,11,0,667800
Hinjewadi,apartment,rent,fully-furnished,4,1557,4,11,0,4,4,1,125200
Balewadi,apartment,rent,unfurnished,3,983,3,29,7,3,10,0,64700
Pimple Saudagar,apartment,sale,semi-furnished,1,355,1,1,3,0,9,0,2637600
Wagholi,apartment,sale,semi-furnished,1,459,1,4,1,8,14,0,2116000
Kharadi,commercial,rent,fully-furnished,0,970,1,28,2,0,1,1,130500
Hinjewadi,house,sale,unfurnished,1,352,1,15,1,7,8,1,2511500
Wagholi,plot,rent,fully-furnished,0,3211,1,8,3,0,1,0,54000
Magarpatta,apartment,rent,semi-furnished,3,1485,3,21,5,2,2,0,94700
Hinjewadi,apartment,rent,unfurnished,1,961,1,13,0,3,16,1,23500
Pimpri,commercial,rent,semi-furnished,0,1015,1,1,4,0,1,0,108700
Magarpatta,apartment,rent,semi-furnished,2,1263,2,10,7,0,2,0,52200
Baner,apartment,rent,fully-furnished,3,1328,3,9,3,5,5,1,98700
Chinchwad,apartment,sale,semi-furnished,2,761,2,27,7,15,15,0,3605600
Kharadi,apartment,sale,semi-furnished,2,821,2,23,4,8,14,1,5746500
Hadapsar,apartment,sale,fully-furnished,2,897,2,10,6,1,10,0,6539300
Hinjewadi,apartment,sale,unfurnished,3,1418,3,12,4,2,4,1,10201900
Wakad,house,rent,fully-furnished,2,1202,2,16,4,0,8,1,38400
Balewadi,villa,sale,semi-furnished,3,2872,3,6,4,6,15,0,29334300
Baner,apartment,sale,fully-furnished,3,1258,3,30,5,0,2,1,12843400
Kothrud,apartment,sale,fully-furnished,2,1042,2,12,6,2,9,1,10157000
Baner,apartment,sale,semi-furnished,4,1498,4,21,4,0,14,1,15134900
Kharadi,apartment,sale,unfurnished,3,1426,3,1,7,0,6,1,14419600
Hinjewadi,house,sale,fully-furnished,4,1632,4,13,4,5,8,1,17910900
Baner,apartment,sale,semi-furnished,4,1742,4,2,4,3,7,1,25147500
Baner,apartment,rent,fully-furnished,3,1726,3,6,5,8,13,1,95100
Pimple Saudagar,studio,sale,fully-furnished,1,415,1,5,2,2,2,0,4569100
Pimpri,villa,sale,semi-furnished,4,3446,4,19,3,7,9,0,23582800
Viman Nagar,apartment,rent,semi-furnished,2,1193,2,22,8,10,18,1,34000
Magarpatta,house,sale,semi-furnished,4,1986,4,2,7,1,2,0,25171000
Magarpatta,commercial,rent,unfurnished,0,4829,1,1,4,0,1,0,120500
Shivajinagar,villa,sale,unfurnished,2,3103,2,24,3,7,9,1,30782900
Undri,apartment,rent,unfurnished,3,1448,3,0,1,1,2,0,46500
Aundh,apartment,sale,semi-furnished,4,1841,4,7,5,9,15,1,20975900
Aundh,studio,rent,unfurnished,1,300,1,22,3,20,20,1,14300
Koregaon Park,house,sale,unfurnished,2,1195,2,27,3,0,11,0,9087600
Kothrud,apartment,rent,fully-furnished,2,940,2,22,5,1,6,1,41400
Hinjewadi,apartment,sale,semi-furnished,2,835,2,19,2,3,11,1,4630100
Viman Nagar,villa,sale,unfurnished,3,1211,3,28,5,9,11,1,11038000
Pisoli,apartment,sale,semi-furnished,2,1139,2,2,4,0,2,0,6292300
Hadapsar,studio,rent,unfurnished,1,638,1,5,6,0,9,0,13500
Aundh,commercial,sale,semi-furnished,0,4518,1,0,3,0,1,1,40199000
Hadapsar,studio,rent,semi-furnished,1,669,1,23,1,4,9,0,15200
Bavdhan,plot,rent,unfurnished,0,2817,1,14,0,0,1,0,46500
Pimple Saudagar,commercial,rent,semi-furnished,0,4469,1,15,0,0,1,0,295200
Viman Nagar,apartment,sale,semi-furnished,3,1160,3,6,9,6,14,1,14447400
Kalyani Nagar,apartment,sale,fully-furnished,2,1069,2,6,1,10,11,0,12612800
Baner,apartment,sale,fully-furnished,4,1656,4,31,2,0,2,1,14998100
Kothrud,commercial,sale,semi-furnished,0,938,1,10,7,0,1,1,11021900
Koregaon Park,villa,sale,fully-furnished,1,2434,1,28,4,0,4,0,41542900
Pimpri,apartment,sale,unfurnished,2,1081,2,20,0,0,16,0,4154100
Pimpri,apartment,sale,fully-furnished,2,883,2,15,4,12,14,0,4795300
Wanowrie,studio,rent,fully-furnished,1,549,1,2,1,3,9,0,15700
Kothrud,apartment,rent,unfurnished,2,757,2,18,6,1,2,1,25000
Hinjewadi,house,sale,semi-furnished,2,767,2,9,5,12,14,1,5579600
Wagholi,apartment,sale,fully-furnished,3,1368,3,8,4,3,16,0,8148600
Wagholi,house,sale,semi-furnished,1,672,1,26,3,8,9,0,2893300
Chinchwad,plot,sale,semi-furnished,0,2133,1,25,3,0,1,0,6585700
Koregaon Park,apartment,rent,semi-furnished,3,1266,3,5,7,8,10,0,109000
Balewadi,apartment,rent,unfurnished,4,1260,4,8,4,1,5,0,94600
Wakad,apartment,sale,semi-furnished,3,1532,3,18,0,1,5,1,13547500
Kharadi,studio,rent,semi-furnished,1,552,1,22,7,11,11,1,34400
Kharadi,studio,rent,fully-furnished,1,445,1,14,6,8,9,1,23700
Viman Nagar,apartment,rent,unfurnished,3,1097,3,18,10,3,13,1,85800
Pashan,studio,rent,semi-furnished,1,586,1,16,5,4,6,0,19100
Aundh,villa,sale,unfurnished,3,2127,3,9,3,5,10,1,28047700
Baner,apartment,sale,fully-furnished,3,1246,3,14,1,2,5,1,11841300
Hinjewadi,apartment,sale,semi-furnished,1,637,1,14,1,1,7,1,2853500
Hinjewadi,house,rent,semi-furnished,1,492,1,11,3,2,14,1,8300
Pisoli,apartment,rent,semi-furnished,2,1104,2,15,3,3,10,0,20500
Hadapsar,apartment,sale,fully-furnished,4,1619,4,25,3,2,2,0,11517500
Baner,apartment,sale,fully-furnished,3,1201,3,11,7,9,14,1,15062900
Wagholi,studio,rent,fully-furnished,1,434,1,21,3,5,10,0,14100
Magarpatta,commercial,sale,semi-furnished,0,1466,1,24,5,0,1,0,4931900
Wagholi,villa,rent,semi-furnished,3,2281,3,14,7,4,8,0,288800
Wakad,plot,sale,unfurnished,0,3193,1,29,6,0,1,1,15412400
Wanowrie,apartment,sale,unfurnished,2,1055,2,8,3,2,2,0,7337200
Pimple Saudagar,villa,sale,fully-furnished,2,2883,2,3,5,6,7,0,28562600
Magarpatta,apartment,sale,semi-furnished,4,1575,4,21,4,6,10,0,12378600
Magarpatta,villa,sale,unfurnished,1,3401,1,28,6,1,10,0,25952300
Baner,apartment,sale,fully-furnished,4,1882,4,10,4,0,2,1,24521000
Baner,commercial,rent,unfurnished,0,1308,1,22,4,0,1,1,73900
Pisoli,villa,rent,unfurnished,2,1983,2,8,7,1,9,0,187600
Pimpri,apartment,sale,semi-furnished,1,523,1,23,1,5,6,0,2428900
Bavdhan,studio,sale,unfurnished,1,422,1,29,4,1,9,0,2114300
Baner,house,rent,semi-furnished,3,1604,3,17,5,10,10,1,105300
Bavdhan,commercial,sale,semi-furnished,0,5094,1,17,5,0,1,0,38944500
Pimple Saudagar,studio,sale,semi-furnished,1,300,1,3,2,4,12,0,2287200
Baner,plot,sale,semi-furnished,0,1328,1,0,4,0,1,1,14575600
